Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
72,16,9,98,6,Some Random Commen with Id 72
73,16,9,102,2,Some Random Commen with Id 73
74,16,9,136,3,Some Random Commen with Id 74
75,16,9,171,5,Some Random Commen with Id 75
76,16,9,89,4,Some Random Commen with Id 76
77,16,9,159,0,Some Random Commen with Id 77
78,16,9,114,3,Some Random Commen with Id 78
79,17,7,192,9,Some Random Commen with Id 79
80,17,7,155,8,Some Random Commen with Id 80
81,17,7,176,0,Some Random Commen with Id 81
82,17,7,155,3,Some Random Commen with Id 82
83,17,7,39,7,Some Random Commen with Id 83
84,17,7,40,7,Some Random Commen with Id 84
85,17,7,160,6,Some Random Commen with Id 85
86,17,7,69,9,Some Random Commen with Id 86
87,17,7,76,1,Some Random Commen with Id 87
88,18,3,91,6,Some Random Commen with Id 88
89,18,3,159,5,Some Random Commen with Id 89
90,18,3,72,9,Some Random Commen with Id 90
91,18,3,66,1,Some Random Commen with Id 91
92,18,3,43,8,Some Random Commen with Id 92
93,19,8,97,0,Some Random Commen with Id 93
94,19,8,65,9,Some Random Commen with Id 94
95,19,8,14,0,Some Random Commen with Id 95
96,19,8,33,0,Some Random Commen with Id 96
97,19,8,26,3,Some Random Commen with Id 97
98,19,8,167,7,Some Random Commen with Id 98
99,19,8,104,3,Some Random Commen with Id 99
100,19,8,192,0,Some Random Commen with Id 100
101,20,7,45,6,Some Random Commen with Id 101
102,20,7,60,5,Some Random Commen with Id 102
103,20,7,176,1,Some Random Commen with Id 103
104,20,7,151,7,Some Random Commen with Id 104
105,20,7,119,5,Some Random Commen with Id 105
106,20,7,148,8,Some Random Commen with Id 106
107,20,7,45,0,Some Random Commen with Id 107
108,20,7,17,6,Some Random Commen with Id 108
109,20,7,139,3,Some Random Commen with Id 109
110,21,4,134,7,Some Random Commen with Id 110
111,21,4,141,3,Some Random Commen with Id 111
112,21,4,178,3,Some Random Commen with Id 112
113,21,4,170,7,Some Random Commen with Id 113
114,22,7,77,2,Some Random Commen with Id 114
115,22,7,102,7,Some Random Commen with Id 115
116,22,7,80,1,Some Random Commen with Id 116
117,22,7,108,3,Some Random Commen with Id 117
118,22,7,161,9,Some Random Commen with Id 118
119,24,4,120,9,Some Random Commen with Id 119
120,25,5,13,3,Some Random Commen with Id 120
121,25,5,166,4,Some Random Commen with Id 121
122,25,5,72,1,Some Random Commen with Id 122
123,25,5,166,2,Some Random Commen with Id 123
124,26,6,154,8,Some Random Commen with Id 124
125,26,6,126,7,Some Random Commen with Id 125
126,26,6,133,9,Some Random Commen with Id 126
127,26,6,137,7,Some Random Commen with Id 127
128,26,6,27,2,Some Random Commen with Id 128
129,26,6,101,0,Some Random Commen with Id 129
130,26,6,130,3,Some Random Commen with Id 130
131,26,6,0,9,Some Random Commen with Id 131
132,26,6,164,4,Some Random Commen with Id 132
133,27,5,33,9,Some Random Commen with Id 133
134,27,5,10,5,Some Random Commen with Id 134
135,27,5,82,8,Some Random Commen with Id 135
136,27,5,113,4,Some Random Commen with Id 136
137,27,5,184,1,Some Random Commen with Id 137
138,27,5,54,6,Some Random Commen with Id 138
139,27,5,83,1,Some Random Commen with Id 139
140,27,5,192,0,Some Random Commen with Id 140
141,27,5,6,1,Some Random Commen with Id 141
142,28,0,104,4,Some Random Commen with Id 142
143,30,3,3,5,Some Random Commen with Id 143
144,30,3,83,9,Some Random Commen with Id 144
145,30,3,52,6,Some Random Commen with Id 145
146,30,3,89,6,Some Random Commen with Id 146
147,31,1,161,6,Some Random Commen with Id 147
148,31,1,47,0,Some Random Commen with Id 148
149,31,1,71,2,Some Random Commen with Id 149
150,31,1,135,6,Some Random Commen with Id 150
151,31,1,81,7,Some Random Commen with Id 151
152,31,1,23,5,Some Random Commen with Id 152
153,32,6,129,9,Some Random Commen with Id 153
154,32,6,59,6,Some Random Commen with Id 154
155,32,6,136,5,Some Random Commen with Id 155
156,32,6,136,7,Some Random Commen with Id 156
157,32,6,49,6,Some Random Commen with Id 157
158,32,6,194,6,Some Random Commen with Id 158
159,32,6,199,8,Some Random Commen with Id 159
160,32,6,105,7,Some Random Commen with Id 160
161,32,6,189,5,Some Random Commen with Id 161
162,33,1,155,3,Some Random Commen with Id 162
163,33,1,159,2,Some Random Commen with Id 163
164,33,1,12,5,Some Random Commen with Id 164
165,33,1,41,3,Some Random Commen with Id 165
166,34,2,40,2,Some Random Commen with Id 166
167,34,2,64,8,Some Random Commen with Id 167
168,34,2,57,5,Some Random Commen with Id 168
169,34,2,194,8,Some Random Commen with Id 169
170,34,2,142,9,Some Random Commen with Id 170
171,34,2,166,1,Some Random Commen with Id 171
172,35,0,4,4,Some Random Commen with Id 172
173,35,0,158,1,Some Random Commen with Id 173
174,36,7,54,1,Some Random Commen with Id 174
175,36,7,20,8,Some Random Commen with Id 175
176,36,7,107,3,Some Random Commen with Id 176
177,36,7,72,6,Some Random Commen with Id 177
178,37,1,130,9,Some Random Commen with Id 178
179,37,1,143,0,Some Random Commen with Id 179
180,37,1,119,5,Some Random Commen with Id 180
181,37,1,38,7,Some Random Commen with Id 181
182,37,1,50,9,Some Random Commen with Id 182
183,37,1,19,7,Some Random Commen with Id 183
184,37,1,196,3,Some Random Commen with Id 184
185,37,1,118,1,Some Random Commen with Id 185
186,37,1,105,3,Some Random Commen with Id 186
187,38,0,37,4,Some Random Commen with Id 187
188,39,4,173,6,Some Random Commen with Id 188
189,39,4,73,3,Some Random Commen with Id 189
190,39,4,98,7,Some Random Commen with Id 190
191,39,4,174,0,Some Random Commen with Id 191
192,39,4,175,5,Some Random Commen with Id 192
193,39,4,57,8,Some Random Commen with Id 193
194,39,4,60,4,Some Random Commen with Id 194
195,39,4,61,3,Some Random Commen with Id 195
196,39,4,92,4,Some Random Commen with Id 196
